strain_id,generation,avg_profit
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],101,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],101,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],102,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],103,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],104,14.9022442532
BT[-18.2403853065]DP[3.82321968688]ML[-0.203318874047],104,14.9022442532
BT[-20.9079329259]DP[3.82321968688]ML[-0.203318874047],104,14.9022442532
BT[-30.516643225]DP[3.82321968688]ML[-0.203318874047],105,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],106,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],107,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],107,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],107,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],107,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],108,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],108,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],108,14.9022442532
BT[-32.9014255601]DP[3.82321968688]ML[-0.203318874047],109,14.9022442532
BT[-25.4212020131]DP[3.82321968688]ML[-0.203318874047],110,14.9022442532
BT[-25.4212020131]DP[3.82321968688]ML[-0.203318874047],110,14.9022442532
BT[-34.8208224526]DP[3.82321968688]ML[-0.203318874047],110,14.9022442532
BT[-34.8208224526]DP[3.82321968688]ML[-0.203318874047],110,14.9022442532
BT[-41.5184292004]DP[3.82321968688]ML[-0.203318874047],111,14.9022442532
BT[-36.9576379621]DP[3.82321968688]ML[-0.203318874047],112,14.9022442532
BT[-41.5184292004]DP[3.82321968688]ML[-0.203318874047],112,14.9022442532
BT[-41.5184292004]DP[3.82321968688]ML[-0.203318874047],112,14.9022442532
BT[-38.1751358522]DP[3.82321968688]ML[-0.203318874047],114,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],113,14.9022442532
BT[-38.1751358522]DP[3.82321968688]ML[-0.203318874047],115,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],114,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],114,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],114,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],114,14.9022442532
BT[-34.2639611872]DP[3.82321968688]ML[-0.203318874047],115,14.9022442532
BT[-42.7971677528]DP[3.82321968688]ML[-0.203318874047],116,14.9022442532
BT[-43.7570988696]DP[3.82321968688]ML[-0.203318874047],117,14.9022442532
BT[-43.7570988696]DP[3.82321968688]ML[-0.203318874047],118,14.9022442532
BT[-24.5342651268]DP[3.82321968688]ML[-0.203318874047],118,14.9022442532
BT[-24.5342651268]DP[3.82321968688]ML[-0.203318874047],119,14.9022442532
BT[-28.2193169211]DP[3.82321968688]ML[-0.203318874047],119,14.9022442532
BT[-28.2193169211]DP[3.82321968688]ML[-0.203318874047],119,14.9022442532
BT[-35.033337849]DP[3.82321968688]ML[-0.203318874047],120,14.9022442532
BT[-35.8562671776]DP[3.82321968688]ML[-0.203318874047],120,14.9022442532
BT[-28.6591432398]DP[3.82321968688]ML[-0.203318874047],121,14.9022442532
BT[-28.6591432398]DP[3.82321968688]ML[-0.203318874047],121,14.9022442532
